id,name,color,sortOrder,isActive,createdAt,updatedAt
import-cat-12,Baby,#3b82f6,0,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-17,Bakery,#10b981,1,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-4,Beers,#f59e0b,2,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-5,Cigarettes,#ef4444,3,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-21,Coffe/tea,#8b5cf6,4,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-24,Default Department,#06b6d4,5,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-8,Deli Dairy,#84cc16,6,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-7,Deli Meats,#f97316,7,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-48,Dry Products,#ec4899,8,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-74,EMBBED PRICE,#14b8a6,9,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-28,English Bakery Products,#3b82f6,10,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-29,English Beer And Spirits,#10b981,11,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-26,English Freezer Products,#f59e0b,12,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-25,English Fridge Products,#ef4444,13,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-19,English Groceries,#8b5cf6,14,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-27,English Grocery Products,#06b6d4,15,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-16,Frozen,#84cc16,16,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-15,Fruit & Veg,#f97316,17,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-14,Health & Beauty,#ec4899,18,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-76,Hot Keys,#14b8a6,19,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-46,Lottery,#3b82f6,20,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-1,Magazine,#10b981,21,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-72,MEAT SECTION,#f59e0b,22,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-13,Medicines,#ef4444,23,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-23,Miscelaneous Other Inne,#8b5cf6,24,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-73,New Category1,#06b6d4,25,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-61,New Category10,#84cc16,26,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-62,New Category11,#f97316,27,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-63,New Category12,#ec4899,28,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-64,New Category13,#14b8a6,29,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-65,New Category14,#3b82f6,30,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
