id,categoryId,taxRateId,name,sku,barcode,price,costPrice,stockLevel,trackStock,allowPriceOverride,isWeighable,showInGoods,goodsSortOrder,color,image,isActive,createdAt,updatedAt,scalePlu
import-prod-43941,import-cat-uncategorised,tax-standard-vat,10 BIALYCH JAJ,43941,5903111012076,199,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-38371,import-cat-uncategorised,tax-standard-vat,10 JAJA,38371,5907623294029,279,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-7109,import-cat-10,tax-standard-vat,17PAPRYKA SLODKA 20,7109,5900084002011,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-40213,import-cat-uncategorised,tax-standard-vat,3 BIT,40213,7622201692513,59,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-21599,import-cat-9,tax-standard-vat,3 BIT 46G,21599,7622210416100,59,25,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45582,import-cat-uncategorised,tax-standard-vat,30 EGGS 2K,45582,5905529790058,699,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-46051,import-cat-uncategorised,tax-standard-vat,30 FRESH EGGS,46051,9860215318922,499,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-4425,import-cat-9,tax-standard-vat,42113263ORBIT,4425,42070429,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42792,import-cat-uncategorised,tax-standard-vat,4MOVE GRAPEFRUIT,42792,5900552080848,99,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-23627,import-cat-6,tax-standard-vat,4MOVE LEMON 750ML,23627,5900552057314,99,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42793,import-cat-uncategorised,tax-standard-vat,4MOVE LIME-MINT,42793,5900552080817,99,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-40720,import-cat-uncategorised,tax-standard-vat,4MOVE MANGO,40720,5900552073550,119,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42789,import-cat-uncategorised,tax-standard-vat,4MOVE SPORT CHERRY,42789,5900552085805,99,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42919,import-cat-uncategorised,tax-standard-vat,4MY BABT WIPES,42919,5050895146937,119,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42920,import-cat-uncategorised,tax-standard-vat,4MY BABT WIPES,42920,5050895247207,119,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-44943,import-cat-uncategorised,tax-standard-vat,4SMOKE LIGHTER,44943,5060461265610,89,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42804,import-cat-17,tax-standard-vat,4X ROLL,42804,,100,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-12471,import-cat-7,tax-standard-vat,5900562489006SOKOLOW KABANOSY,12471,5900562487101,329,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45445,import-cat-uncategorised,tax-standard-vat,6/1.5L JURAJSKA GAZO,45445,5905256020138,299,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-31231,import-cat-uncategorised,tax-standard-vat,7 DAYS,31231,5201360531226,109,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43481,import-cat-uncategorised,tax-standard-vat,7 DAYS,43481,7622201393717,99,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-41425,import-cat-uncategorised,tax-standard-vat,7 DAYS BAKE ROLLS,41425,5201360677924,189,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43933,import-cat-uncategorised,tax-standard-vat,7 DAYS 60G,43933,7622202009129,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-41426,import-cat-uncategorised,tax-standard-vat,7 DAYS BAKE ROLLS,41426,5201360677627,189,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-41423,import-cat-uncategorised,tax-standard-vat,7 DAYS BAKE ROLLS,41423,5201360655366,189,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-41424,import-cat-uncategorised,tax-standard-vat,7 DAYS BAKE ROLLS,41424,5201360655373,189,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-44828,import-cat-uncategorised,tax-standard-vat,7 DAYS BAKED ROLLS S,44828,7622202021602,129,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42016,import-cat-uncategorised,tax-standard-vat,7 DAYS CAKE BAR,42016,5201360786022,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43785,import-cat-uncategorised,tax-standard-vat,7 DAYS COOKIES,43785,5201360531318,89,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-30871,import-cat-uncategorised,tax-standard-vat,7 DAYS CREAM&COOKIES,30871,5201360531929,89,43,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-30872,import-cat-uncategorised,tax-standard-vat,7 Days Cream&cookies,30872,5201360531936,89,44,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
